tokens	count
1	21
2	16
3	20
4	11
5	18
6	18
7	17
8	7
9	21
10	18
11	11
12	14
13	13
14	17
15	16
16	16
17	19
18	16
19	20
20	19
21	15
22	12
23	11
24	19
25	20
26	21
27	19
28	18
29	21
30	18
31	20
32	12
33	19
34	14
35	20
36	23
37	17
38	21
39	14
40	21
41	17
42	19
43	18
44	8
45	21
46	15
47	16
48	12
49	15
50	20
51	15
52	17
53	15
54	10
55	27
56	19
57	19
58	28
59	16
60	19
61	13
62	16
63	18
64	16
65	16
66	25
67	19
68	17
69	12
70	13
71	13
72	19
73	13
74	14
75	15
76	14
77	22
78	19
79	18
80	18
81	13
82	22
83	16
84	16
85	14
86	12
87	21
88	20
89	23
90	15
91	13
92	14
93	22
94	17
95	18
96	20
97	17
98	10
99	13
100	25
101	19
102	22
103	15
104	13
105	20
106	20
107	13
108	12
109	24
110	17
111	24
112	13
113	17
114	17
115	21
116	14
117	14
118	25
119	17
120	17
121	14
122	15
123	17
124	20
125	18
126	12
127	15
128	16
129	14
130	20
131	18
132	17
133	24
134	20
135	12
136	12
137	31
138	18
139	26
140	6
141	11
142	22
143	12
144	18
145	12
146	28
147	20
148	22
149	10
150	23
151	16
152	20
153	17
154	22
155	21
156	23
157	20
158	17
159	24
160	16
161	23
162	17
163	26
164	22
165	19
166	20
167	19
168	27
169	15
170	19
171	24
172	18
173	19
174	20
175	23
176	19
177	14
178	18
179	15
180	20
181	16
182	12
183	22
184	18
185	16
186	20
187	17
188	18
189	19
190	18
191	13
192	19
193	4
194	24
195	16
196	14
197	17
198	16
199	21
200	19
201	19
202	22
203	24
204	21
205	17
206	30
207	27
208	23
209	21
210	23
211	23
212	23
213	24
214	23
215	11
216	26
217	18
218	21
219	19
220	27
221	26
222	22
223	17
224	24
225	26
226	20
227	25
228	24
229	25
230	17
231	27
232	17
233	14
234	20
235	26
236	17
237	25
238	19
239	28
240	14
241	26
242	20
243	19
244	22
245	26
246	24
247	27
248	20
249	27
250	25
251	29
252	23
253	29
254	24
255	25
256	25
257	30
258	24
259	28
260	27
261	24
262	36
263	30
264	29
265	21
266	34
267	18
268	27
269	23
270	35
271	26
272	27
273	29
274	38
275	32
276	19
277	33
278	32
279	41
280	29
281	24
282	29
283	23
284	32
285	33
286	26
287	26
288	32
289	20
290	31
291	31
292	26
293	43
294	42
295	23
296	24
297	29
298	34
299	39
300	25
301	39
302	37
303	30
304	52
305	36
306	43
307	31
308	24
309	40
310	36
311	40
312	44
313	30
314	49
315	36
316	38
317	41
318	48
319	35
320	36
321	52
322	49
323	38
324	35
325	40
326	32
327	48
328	40
329	43
330	47
331	35
332	44
333	57
334	48
335	47
336	42
337	48
338	53
339	60
340	46
341	47
342	52
343	40
344	59
345	62
346	51
347	61
348	49
349	52
350	66
351	55
352	63
353	51
354	58
355	45
356	47
357	75
358	58
359	72
360	75
361	48
362	61
363	78
364	60
365	80
366	73
367	60
368	63
369	80
370	68
371	77
372	74
373	83
374	85
375	85
376	82
377	91
378	99
379	71
380	93
381	122
382	100
383	107
384	94
385	109
386	120
387	115
388	121
389	125
390	128
391	124
392	141
393	129
394	133
395	144
396	161
397	156
398	162
399	160
400	171
401	171
402	176
403	179
404	191
405	219
406	186
407	207
408	206
409	197
410	248
411	228
412	232
413	226
414	240
415	282
416	309
417	305
418	323
419	309
420	323
421	343
422	340
423	377
424	395
425	372
426	372
427	373
428	494
429	504
430	488
431	467
432	603
433	569
434	605
435	626
436	638
437	690
438	702
439	764
440	833
441	857
442	853
443	950
444	964
445	1065
446	1144
447	1165
448	1242
449	1297
450	1374
451	1435
452	1571
453	1642
454	1794
455	1825
456	1967
457	2117
458	2258
459	2410
460	2479
461	2629
462	2916
463	3126
464	3370
465	3573
466	3841
467	4049
468	4401
469	4813
470	5133
471	5572
472	5940
473	6357
474	6892
475	7461
476	7970
477	8614
478	9558
479	10290
480	11065
481	12069
482	13236
483	14275
484	15605
485	16739
486	18469
487	20371
488	22361
489	24386
490	26773
491	29241
492	32222
493	35587
494	39846
495	43979
496	48606
497	53436
498	58547
499	65432
500	72265
501	87771
502	98442
503	126724
504	139918
505	149740
506	159104
507	170640
508	180738
509	184848
510	371086
